Unnamed: 0,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Population Rank,Percentage,Internet Rank,percentage_non_religious,clusterId
75,76.0,5.43,1.405,1.29,1.03,0.524,0.246,0.291,7364.883,70.0,89.42,25.0,0.0,1
76,77.0,5.41,1.188,1.429,0.884,0.562,0.055,0.017,10329.506,61.0,73.79,70.0,8.38,0
77,78.0,5.398,0.975,1.369,0.685,0.288,0.134,0.043,8790.574,75.0,70.33,76.0,5.0,0
78,79.0,5.358,1.154,1.202,0.879,0.131,0.0,0.044,11159.773,58.0,69.89,77.0,0.0,0
79,80.0,5.358,0.965,1.179,0.785,0.503,0.214,0.136,6082.357,86.0,78.18,57.0,0.0,0
80,81.0,5.347,1.017,1.279,0.729,0.259,0.111,0.081,628.96,154.0,71.27,75.0,4.25,0
81,82.0,5.321,1.115,1.161,0.737,0.38,0.12,0.039,4189.353,103.0,67.1,84.0,3.6,0
82,83.0,5.302,0.982,1.441,0.614,0.578,0.12,0.106,10766.998,67.0,64.99,88.0,6.55,0
83,84.0,5.295,0.979,1.154,0.687,0.077,0.055,0.135,41318.142,36.0,47.69,130.0,0.0,0
84,85.0,5.254,0.779,0.797,0.669,0.46,0.026,0.074,35739.58,32.0,61.76,97.0,0.0,0
85,86.0,5.246,0.989,1.142,0.799,0.597,0.029,0.103,1409517.397,1.0,54.3,116.0,50.0,0
86,87.0,5.201,1.024,1.161,0.603,0.43,0.031,0.176,9827.589,59.0,79.0,54.0,0.0,0
87,88.0,5.199,0.474,1.166,0.598,0.292,0.187,0.034,8921.343,120.0,21.96,171.0,0.1,2
88,89.0,5.185,0.959,1.239,0.691,0.394,0.173,0.052,2083.16,124.0,76.31,62.0,0.0,0
89,90.0,5.161,0.822,1.265,0.645,0.468,0.13,0.134,9702.353,71.0,66.79,85.0,0.0,0
90,91.0,5.155,0.689,1.172,0.048,0.462,0.201,0.032,190015.955,12.0,27.51,161.0,0.0,2
91,92.0,5.131,0.53,1.416,0.594,0.54,0.281,0.035,6045.117,114.0,38.2,139.0,0.0,0
92,93.0,5.129,0.915,1.078,0.758,0.28,0.216,0.0,3507.017,109.0,69.49,80.0,9.9,0
93,94.0,5.125,0.914,1.517,0.575,0.395,0.253,0.032,3075.647,145.0,23.71,169.0,38.6,0
94,95.0,5.103,0.715,1.365,0.702,0.618,0.177,0.079,95540.8,17.0,49.57,122.0,0.0,0
95,96.0,5.093,0.899,1.215,0.522,0.538,0.484,0.018,263991.379,7.0,32.29,150.0,0.0,2
96,97.0,5.082,0.796,1.335,0.527,0.541,0.364,0.171,807.61,158.0,48.11,129.0,0.0,2
97,98.0,4.982,0.0,0.712,0.115,0.674,0.238,0.282,14742.523,166.0,2.0,208.0,0.0,2
98,99.0,4.975,0.535,0.891,0.182,0.454,0.183,0.043,24053.727,78.0,23.2,170.0,0.0,2
99,100.0,4.933,1.054,1.515,0.712,0.359,0.064,0.009,7084.571,88.0,63.41,94.0,0.0,0
100,101.0,4.88,0.425,1.228,0.539,0.526,0.302,0.078,29304.998,73.0,21.4,174.0,0.0,2
101,102.0,4.806,0.996,1.469,0.657,0.133,0.056,0.052,31977.065,35.0,64.31,91.0,0.5,0
102,103.0,4.758,1.036,1.164,0.404,0.356,0.032,0.052,2025.137,135.0,50.32,120.0,5.0,0
103,104.0,4.743,0.642,1.217,0.602,0.266,0.086,0.076,4920.724,99.0,65.2,87.0,0.0,0
104,105.0,4.724,0.94,1.41,0.33,0.516,0.103,0.056,56717.156,24.0,56.17,111.0,1.0,0
105,106.0,4.707,1.059,0.771,0.691,0.459,0.282,0.129,81162.788,15.0,60.42,101.0,0.0,0
106,107.0,4.671,0.541,0.872,0.08,0.467,0.146,0.103,24294.75,48.0,43.84,133.0,0.0,2
107,108.0,4.657,0.592,0.896,0.337,0.499,0.212,0.029,28833.629,47.0,37.88,140.0,6.1,2
